"date","depth2m","depth6m","depth8m"
2014-05-07,26.9138141666667,NA,26.9219869444444
2015-05-07,27.6131663819444,NA,27.3673316944444
2018-05-07,26.3249120208333,NA,26.1890344097222
2019-05-07,26.5297947708333,NA,26.5670789583333
2020-05-07,26.7296023333333,NA,26.6856607152778
1996-06-07,NA,NA,25.2072916666667
1998-06-07,25.9564583333333,NA,25.365
1999-06-07,24.9485416666667,NA,25.024375
2000-06-07,23.405,NA,23.438125
2001-06-07,25.09025,NA,25.0308958333333
2002-06-07,25.1686458333333,NA,25.4591666666667
2003-06-07,25.5927083333333,NA,25.6152083333333
2004-06-07,25.0217083333333,NA,25.05475
2005-06-07,26.3472770833333,NA,26.2705395833333
2006-06-07,25.3695270833333,NA,25.3915854166667
2007-06-07,25.4629333333333,NA,25.08726875
2008-06-07,24.2421895833333,NA,24.2472583333333
2009-06-07,24.58339375,NA,NA
2010-06-07,25.6248611111111,NA,25.6569444444444
2011-06-07,24.3318282708333,NA,24.3031242847222
2012-06-07,23.9357299652778,NA,NA
2013-06-07,24.9077517569444,NA,24.9629032916667
2014-06-07,24.8132493194444,NA,24.6684389305556
2015-06-07,NA,NA,NA
2018-06-07,24.1764587708333,NA,24.1067327986111
2019-06-07,23.9606609375,NA,23.8879783333333
1995-07-07,NA,NA,23.289375
1996-07-07,24.4035416666667,NA,24.265625
1998-07-07,24.324375,NA,23.718125
1999-07-07,23.1047916666667,NA,23.19875
2000-07-07,22.6308333333333,NA,22.6925
2001-07-07,24.17125,NA,24.1504583333333
2002-07-07,24.0188958333333,NA,23.9881458333333
2003-07-07,23.9432708333333,NA,23.95675
2004-07-07,24.0146458333333,NA,24.0248125
2005-07-07,25.4056041666667,NA,25.3414583333333
2006-07-07,24.5555708333333,NA,24.539375
2007-07-07,23.5873520833333,NA,23.14638125
2008-07-07,23.0115020833333,NA,23.01570625
2009-07-07,24.08743125,NA,NA
2010-07-07,24.7486111111111,NA,24.7195138888889
2011-07-07,23.2316540277778,NA,NA
2012-07-07,22.7570744722222,NA,NA
2013-07-07,24.5417942430556,NA,24.6099930902778
2014-07-07,24.05511125,NA,23.4869512083333
2018-07-07,24.2443821666667,NA,24.3246538541667
2019-07-07,23.2034221527778,NA,23.1977447847222
1995-08-07,NA,NA,22.9572916666667
1996-08-07,24.7866666666667,NA,24.5510416666667
1998-08-07,24.1458333333333,NA,23.4935416666667
1999-08-07,22.2897916666667,NA,22.1766666666667
2000-08-07,22.42375,NA,22.4602083333333
2001-08-07,24.117375,NA,24.007625
2002-08-07,23.8486666666667,NA,23.8776875
2003-08-07,23.7087291666667,NA,23.6492916666667
2004-08-07,NA,NA,23.2345625
2005-08-07,24.54495625,NA,24.4842333333333
2006-08-07,23.2418833333333,NA,23.2758916666667
2007-08-07,22.8183416666667,NA,22.3867041666667
2008-08-07,22.8829916666667,NA,22.8703166666667
2009-08-07,23.2231,NA,NA
2010-08-07,24.5859722222222,NA,24.6274305555556
2011-08-07,23.1701952569444,NA,NA
2012-08-07,23.0509008958333,NA,NA
2013-08-07,24.2943445347222,NA,24.3031928125
2014-08-07,23.5273774305556,NA,22.9103912847222
2018-08-07,23.9090752569444,NA,24.0446979861111
2019-08-07,22.8769445,NA,22.8952118680556
1995-09-07,NA,NA,23.0764583333333
1996-09-07,24.0941666666667,NA,23.7322916666667
1997-09-07,24.3579166666667,NA,24.2466666666667
1998-09-07,25.0241666666667,NA,24.46375
1999-09-07,23.7372916666667,NA,23.3454166666667
2000-09-07,23.6332083333333,NA,23.5941041666667
2001-09-07,24.2928541666667,NA,24.2457708333333
2002-09-07,23.8370625,NA,23.9521041666667
2003-09-07,24.0748333333333,NA,23.9621458333333
2004-09-07,NA,NA,23.6640833333333
2005-09-07,25.1280583333333,NA,25.0060083333333
2006-09-07,24.4616520833333,NA,24.3271520833333
2007-09-07,23.74455625,NA,23.69985
2008-09-07,23.1381854166667,NA,NA
2009-09-07,24.5665729166667,NA,NA
2010-09-07,25.4249305555556,NA,25.3195138888889
2011-09-07,23.7411674236111,NA,NA
2012-09-07,24.3658733611111,NA,NA
2013-09-07,24.2179881875,NA,24.2819698402778
2014-09-07,23.9252343611111,NA,23.1075826875
2018-09-07,24.4087333541667,NA,24.2406670486111
2019-09-07,23.8995506597222,NA,23.7225057569444
1995-10-07,NA,NA,24.5858333333333
1996-10-07,25.6797916666667,NA,25.4335416666667
1997-10-07,25.3910416666667,NA,25.32
1998-10-07,25.9135416666667,NA,25.3847916666667
1999-10-07,24.5272916666667,NA,24.3177083333333
2000-10-07,24.6375416666667,NA,24.4875208333333
2001-10-07,25.3493958333333,NA,25.3375
2002-10-07,24.7723958333333,NA,24.8318541666667
2003-10-07,25.2050416666667,NA,25.1718958333333
